Order,X,Y,Heading
196,2.3,0.5,90.0
197,2.35,0.5,90.0
198,2.4,0.5,90.0
199,2.45,0.5,90.0
200,2.5,0.5,180.0
201,2.5,0.55,180.0
202,2.5,0.6,180.0
203,2.5,0.65,180.0
204,2.5,0.7,180.0
205,2.5,0.75,180.0
206,2.5,0.8,180.0
207,2.5,0.85,180.0
208,2.5,0.9,180.0
209,2.5,0.95,180.0
210,2.5,1.0,180.0
211,2.5,1.05,180.0
212,2.5,1.1,180.0
213,2.5,1.15,180.0
214,2.5,1.2,180.0
215,2.5,1.25,180.0
216,2.5,1.3,180.0
217,2.5,1.35,180.0
218,2.5,1.4,180.0
219,2.5,1.45,180.0
220,2.5,1.5,180.0
221,2.5,1.55,180.0
222,2.5,1.6,180.0
223,2.5,1.65,180.0
224,2.5,1.7,180.0
225,2.5,1.75,180.0
226,2.5,1.8,180.0
227,2.5,1.85,180.0
228,2.5,1.9,180.0
229,2.5,1.95,180.0
230,2.5,2.0,180.0
231,2.5,2.05,180.0
232,2.5,2.1,180.0
233,2.5,2.15,180.0
234,2.5,2.2,180.0
235,2.5,2.25,180.0
236,2.5,2.3,180.0
237,2.5,2.35,180.0
238,2.5,2.4,180.0
239,2.5,2.45,180.0
240,2.5,2.5,0.0
